V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,recorded-deaths,Deaths
361,,2020,2020,E12000005,West Midlands,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000003,Yorkshire and The Humber,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000002,North West,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
12456,,2020,2020,K04000001,England and Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
155,,2020,2020,E12000006,East of England,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
222,,2020,2020,W92000004,Wales,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000002,North West,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1159,,2020,2020,E12000006,East of England,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000009,South West,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-48,Week 48,total-registered-deaths,Total registered deaths
387,,2020,2020,E12000005,West Midlands,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
679,,2020,2020,E12000001,North East,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000005,West Midlands,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
219,,2020,2020,E12000001,North East,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
797,,2020,2020,W92000004,Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
361,,2020,2020,E12000004,East Midlands,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,W92000004,Wales,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000006,East of England,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000003,Yorkshire and The Humber,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-48,Week 48,total-registered-deaths,Total registered deaths
294,,2020,2020,E12000008,South East,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1218,,2020,2020,E12000004,East Midlands,week-48,Week 48,total-registered-deaths,Total registered deaths
256,,2020,2020,E12000008,South East,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1358,,2020,2020,E12000005,West Midlands,week-48,Week 48,total-registered-deaths,Total registered deaths
1272,,2020,2020,E12000009,South West,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
218,,2020,2020,W92000004,Wales,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000003,Yorkshire and The Humber,week-48,Week 48,total-registered-deaths,Total registered deaths
3112,,2020,2020,K04000001,England and Wales,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000001,North East,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000002,North West,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000001,North East,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
220,,2020,2020,E12000001,North East,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
190,,2020,2020,E12000007,London,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1501,,2020,2020,E12000003,Yorkshire and The Humber,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000007,London,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3040,,2020,2020,K04000001,England and Wales,week-48,Week 48,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000004,East Midlands,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-48,Week 48,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-48,Week 48,total-registered-deaths,Total registered deaths
365,,2020,2020,E12000004,East Midlands,week-48,Week 48,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000002,North West,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1054,,2020,2020,E12000006,East of England,week-40,Week 40,total-registered-deaths,Total registered deaths
1003,,2020,2020,E12000009,South West,week-40,Week 40,total-registered-deaths,Total registered deaths
11,,2020,2020,E12000004,East Midlands,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000008,South East,week-40,Week 40,total-registered-deaths,Total registered deaths
671,,2020,2020,W92000004,Wales,week-40,Week 40,total-registered-deaths,Total registered deaths
32,,2020,2020,E12000007,London,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
899,,2020,2020,E12000007,London,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000001,North East,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-40,Week 40,total-registered-deaths,Total registered deaths
3,,2020,2020,E12000009,South West,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000007,London,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
36,,2020,2020,E12000003,Yorkshire and The Humber,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,W92000004,Wales,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
31,,2020,2020,E12000005,West Midlands,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000002,North West,week-40,Week 40,total-registered-deaths,Total registered deaths
40,,2020,2020,E12000001,North East,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
106,,2020,2020,E12000002,North West,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000008,South East,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1301,,2020,2020,E12000002,North West,week-40,Week 40,total-registered-deaths,Total registered deaths
9945,,2020,2020,K04000001,England and Wales,week-40,Week 40,total-registered-deaths,Total registered deaths
978,,2020,2020,E12000003,Yorkshire and The Humber,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-40,Week 40,total-registered-deaths,Total registered deaths
17,,2020,2020,E12000006,East of England,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000002,North West,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000003,Yorkshire and The Humber,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1577,,2020,2020,E12000008,South East,week-40,Week 40,total-registered-deaths,Total registered deaths
386,,2020,2020,K04000001,England and Wales,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-40,Week 40,total-registered-deaths,Total registered deaths
26,,2020,2020,E12000008,South East,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
30,,2020,2020,E12000003,Yorkshire and The Humber,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2020,2020,E12000009,South West,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
133,,2020,2020,E12000002,North West,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
37,,2020,2020,E12000005,West Midlands,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
558,,2020,2020,E12000001,North East,week-40,Week 40,total-registered-deaths,Total registered deaths
31,,2020,2020,E12000007,London,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
842,,2020,2020,E12000004,East Midlands,week-40,Week 40,total-registered-deaths,Total registered deaths
25,,2020,2020,W92000004,Wales,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000006,East of England,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000001,North East,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000006,East of England,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
15,,2020,2020,E12000004,East Midlands,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
14,,2020,2020,E12000006,East of England,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000007,London,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1045,,2020,2020,E12000005,West Midlands,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000001,North East,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000009,South West,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000008,South East,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
321,,2020,2020,K04000001,England and Wales,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
32,,2020,2020,E12000008,South East,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-40,Week 40,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000005,West Midlands,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
27,,2020,2020,W92000004,Wales,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-40,Week 40,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-40,Week 40,total-registered-deaths,Total registered deaths
55,,2020,2020,E12000001,North East,week-40,Week 40,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
426,,2020,2020,E12000002,North West,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
661,,2020,2020,E12000001,North East,week-50,Week 50,total-registered-deaths,Total registered deaths
388,,2020,2020,E12000005,West Midlands,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1065,,2020,2020,E12000007,London,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000002,North West,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000004,East Midlands,week-50,Week 50,total-registered-deaths,Total registered deaths
159,,2020,2020,E12000001,North East,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
376,,2020,2020,E12000008,South East,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000005,West Midlands,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000005,West Midlands,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
294,,2020,2020,E12000008,South East,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000005,West Midlands,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
162,,2020,2020,E12000009,South West,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1432,,2020,2020,E12000005,West Midlands,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
227,,2020,2020,E12000007,London,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000004,East Midlands,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000002,North West,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1326,,2020,2020,E12000003,Yorkshire and The Humber,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2918,,2020,2020,K04000001,England and Wales,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000006,East of England,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
201,,2020,2020,E12000006,East of England,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1156,,2020,2020,E12000009,South West,week-50,Week 50,total-registered-deaths,Total registered deaths
200,,2020,2020,E12000007,London,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
402,,2020,2020,E12000002,North West,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000003,Yorkshire and The Humber,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1224,,2020,2020,E12000006,East of England,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000002,North West,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
376,,2020,2020,E12000005,West Midlands,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
12292,,2020,2020,K04000001,England and Wales,week-50,Week 50,total-registered-deaths,Total registered deaths
187,,2020,2020,E12000009,South West,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000008,South East,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000007,London,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,E12000001,North East,week-50,Week 50,total-registered-deaths,Total registered deaths
223,,2020,2020,W92000004,Wales,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1691,,2020,2020,E12000002,North West,week-50,Week 50,total-registered-deaths,Total registered deaths
147,,2020,2020,E12000001,North East,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2756,,2020,2020,K04000001,England and Wales,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
325,,2020,2020,E12000004,East Midlands,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
237,,2020,2020,E12000006,East of England,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1706,,2020,2020,E12000008,South East,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000007,London,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000003,Yorkshire and The Humber,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000003,Yorkshire and The Humber,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000009,South West,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000006,East of England,week-50,Week 50,total-registered-deaths,Total registered deaths
221,,2020,2020,W92000004,Wales,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
814,,2020,2020,W92000004,Wales,week-50,Week 50,total-registered-deaths,Total registered deaths
334,,2020,2020,E12000004,East Midlands,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1199,,2020,2020,E12000004,East Midlands,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,W92000004,Wales,week-50,Week 50,total-registered-deaths,Total registered deaths
,x,2021,2021,E12000004,East Midlands,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
390,,2020,2020,E12000003,Yorkshire and The Humber,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
396,,2020,2020,E12000003,Yorkshire and The Humber,week-50,Week 50,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,E12000009,South West,week-50,Week 50,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
755,,2020,2020,E12000003,Yorkshire and The Humber,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
8237,,2020,2020,K04000001,England and Wales,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
6,,2021,2021,E12000001,North East,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
368,,2020,2020,E12000001,North East,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
345,,2020,2020,W92000004,Wales,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1124,,2020,2020,W92000004,Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
6964,,2020,2020,K04000001,England and Wales,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
20,,2021,2021,E12000002,North West,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
13,,2021,2021,E12000001,North East,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
487,,2020,2020,E12000004,East Midlands,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
21,,2021,2021,E12000004,East Midlands,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3109,,2020,2020,E12000002,North West,week-17,Week 17,total-registered-deaths,Total registered deaths
21997,,2020,2020,K04000001,England and Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
1088,,2020,2020,E12000008,South East,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
20,,2021,2021,E12000003,Yorkshire and The Humber,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
531,,2020,2020,E12000009,South West,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1924,,2020,2020,E12000009,South West,week-17,Week 17,total-registered-deaths,Total registered deaths
1062,,2021,2021,E12000006,East of England,week-17,Week 17,total-registered-deaths,Total registered deaths
7,,2021,2021,W92000004,Wales,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
17,,2021,2021,E12000005,West Midlands,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1103,,2020,2020,E12000001,North East,week-17,Week 17,total-registered-deaths,Total registered deaths
419,,2020,2020,E12000001,North East,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
3334,,2020,2020,E12000008,South East,week-17,Week 17,total-registered-deaths,Total registered deaths
1519,,2021,2021,E12000008,South East,week-17,Week 17,total-registered-deaths,Total registered deaths
562,,2020,2020,E12000004,East Midlands,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
16,,2021,2021,E12000007,London,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1711,,2020,2020,E12000004,East Midlands,week-17,Week 17,total-registered-deaths,Total registered deaths
814,,2020,2020,E12000006,East of England,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2299,,2020,2020,E12000006,East of England,week-17,Week 17,total-registered-deaths,Total registered deaths
745,,2020,2020,E12000005,West Midlands,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
582,,2021,2021,W92000004,Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
10,,2021,2021,E12000009,South West,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
16,,2021,2021,E12000003,Yorkshire and The Humber,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
12,,2021,2021,E12000009,South West,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
413,,2020,2020,W92000004,Wales,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
20,,2021,2021,E12000006,East of England,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
9692,,2021,2021,K04000001,England and Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
501,,2021,2021,E12000001,North East,week-17,Week 17,total-registered-deaths,Total registered deaths
1232,,2020,2020,E12000008,South East,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
880,,2020,2020,E12000005,West Midlands,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2481,,2020,2020,E12000005,West Midlands,week-17,Week 17,total-registered-deaths,Total registered deaths
20,,2021,2021,E12000008,South East,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
9,,2021,2021,E12000004,East Midlands,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
814,,2021,2021,E12000004,East Midlands,week-17,Week 17,total-registered-deaths,Total registered deaths
1108,,2020,2020,E12000002,North West,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
982,,2021,2021,E12000005,West Midlands,week-17,Week 17,total-registered-deaths,Total registered deaths
678,,2020,2020,E12000006,East of England,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
14,,2021,2021,E12000006,East of England,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
28,,2021,2021,E12000002,North West,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
24,,2021,2021,E12000005,West Midlands,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
133,,2021,2021,K04000001,England and Wales,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
986,,2020,2020,E12000007,London,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
693,,2020,2020,E12000003,Yorkshire and The Humber,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1207,,2020,2020,E12000002,North West,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2785,,2020,2020,E12000007,London,week-17,Week 17,total-registered-deaths,Total registered deaths
33,,2021,2021,E12000007,London,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
908,,2021,2021,E12000007,London,week-17,Week 17,total-registered-deaths,Total registered deaths
205,,2021,2021,K04000001,England and Wales,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
29,,2021,2021,E12000008,South East,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
458,,2020,2020,E12000009,South West,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
943,,2021,2021,E12000003,Yorkshire and The Humber,week-17,Week 17,total-registered-deaths,Total registered deaths
1281,,2021,2021,E12000002,North West,week-17,Week 17,total-registered-deaths,Total registered deaths
1406,,2020,2020,E12000007,London,week-17,Week 17,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
2095,,2020,2020,E12000003,Yorkshire and The Humber,week-17,Week 17,total-registered-deaths,Total registered deaths
1084,,2021,2021,E12000009,South West,week-17,Week 17,total-registered-deaths,Total registered deaths
3,,2021,2021,W92000004,Wales,week-17,Week 17,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,E12000007,London,week-1,Week 1,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
1197,,2021,2021,E12000008,South East,week-1,Week 1,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
